azimuth_mad_sigma_mm,azimuth_median_mm,detect_floor_mm_day,export_file,export_mb,file,layer,magnitude_p95_mm,mean_correlation,range_mad_sigma_mm,range_max_abs_mm,range_median_mm,range_p5_mm,range_p95_mm,range_velocity_mm_day,reference,secondary,span_days,valid_pct,valid_px
275.86,157.49,15.71,GOFF_20260702_20260714_PR_HH-layer2.tif,0.365,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer2,575.68,0.674,62.83,317.74,-53.64,-173.33,95.87,-4.47,20260702,20260714,12,0.18,33498
247.97,140.35,9.63,GOFF_20260702_20260714_PR_HH-layer3.tif,0.35,NISAR_L2_PR_GOFF_024_098_A_016_025_4000_SH_20260702T233920_20260702T233955_20260714T233920_20260714T233954_P05023_F_F_J_001.h5,HH/layer3,513.78,0.709,38.52,225.44,-53.84,-118.43,44.45,-4.487,20260702,20260714,12,0.19,34729
1735.38,359.91,70.08,GOFF_20260711_20260723_PR_HH-layer1.tif,0.269,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer1,5317.95,0.625,280.33,1686.59,-182.57,-957.44,567.41,-15.214,20260711,20260723,12,0.12,22331
1688.61,341.72,55.76,GOFF_20260711_20260723_PR_HH-layer2.tif,0.275,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer2,5123.12,0.628,223.03,1294.9,-188.78,-826.3,373.27,-15.732,20260711,20260723,12,0.13,23613
1669.2,332.39,34.91,GOFF_20260711_20260723_PR_HH-layer3.tif,0.258,NISAR_L2_PR_GOFF_025_048_D_074_026_2000_SH_20260711T125814_20260711T125848_20260723T125813_20260723T125848_P05023_N_F_J_001.h5,HH/layer3,4844.84,0.676,139.63,850.66,-190.27,-620.16,122.07,-15.856,20260711,20260723,12,0.13,23626
243.82,-379.58,15.85,GOFF_20260714_20260726_PR_HH-layer1.tif,0.36,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer1,780.72,0.701,63.38,311.54,21.92,-114.95,165.11,1.827,20260714,20260726,12,0.17,31693
211.84,-371.86,10.95,GOFF_20260714_20260726_PR_HH-layer2.tif,0.361,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer2,720.38,0.732,43.81,201.04,18.24,-62.86,109.88,1.52,20260714,20260726,12,0.19,34409
204.26,-359.72,7.34,GOFF_20260714_20260726_PR_HH-layer3.tif,0.343,NISAR_L2_PR_GOFF_025_098_A_016_026_4000_SH_20260714T233920_20260714T233954_20260726T233919_20260726T233954_P05023_N_F_J_001.h5,HH/layer3,712.79,0.765,29.34,143.66,15.31,-33.65,79.9,1.276,20260714,20260726,12,0.2,35693
145.95,-228.95,11.23,GOFF_20260723_20260816_PR_HH-layer1.tif,0.335,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer1,751.31,0.659,89.84,475.2,40.82,-157.73,282.56,1.701,20260723,20260816,24,0.15,27773
104.32,-231.74,8.11,GOFF_20260723_20260816_PR_HH-layer2.tif,0.336,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer2,548.94,0.692,64.84,330.54,37.68,-88.48,222.6,1.57,20260723,20260816,24,0.16,30516
84.83,-241.23,6.43,GOFF_20260723_20260816_PR_HH-layer3.tif,0.317,NISAR_L2_PR_GOFF_026_048_D_074_028_4000_SH_20260723T125813_20260723T125848_20260816T125812_20260816T125846_P05023_N_F_J_001.h5,HH/layer3,444.25,0.728,51.41,253.24,37.28,-36.08,181.23,1.553,20260723,20260816,24,0.17,31017
124.74,37.56,9.4,GOFF_20260726_20260819_PR_HH-layer1.tif,0.365,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer1,440.82,0.68,75.23,358.52,-8.53,-165.8,176.76,-0.355,20260726,20260819,24,0.17,30650
75.73,41.39,7.05,GOFF_20260726_20260819_PR_HH-layer2.tif,0.372,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer2,283.15,0.712,56.37,252.2,-10.25,-106.88,120.37,-0.427,20260726,20260819,24,0.19,33803
52.3,44.45,4.59,GOFF_20260726_20260819_PR_HH-layer3.tif,0.35,NISAR_L2_PR_GOFF_026_098_A_016_028_4000_SH_20260726T233919_20260726T233954_20260819T233918_20260819T233953_P05023_N_F_J_001.h5,HH/layer3,174.87,0.747,36.73,175.35,-11.43,-61.97,85.52,-0.476,20260726,20260819,24,0.19,34518
108.49,82.52,35.55,GOFF_20260816_20260828_UR_HH-layer1.tif,0.273,NISAR_L2_UR_GOFF_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,HH/layer1,755.61,0.691,142.19,915.96,237.61,-67.58,644.59,19.801,20260816,20260828,12,0.13,24708
72.57,81.51,27.15,GOFF_20260816_20260828_UR_HH-layer2.tif,0.249,NISAR_L2_UR_GOFF_028_048_D_074_029_2000_SH_20260816T125812_20260816T125846_20260828T125812_20260828T125846_P05023_F_F_J_001.h5,HH/layer2,571.1,0.729,108.61,727.87,244.6,55.96,517.87,20.383,20260816,20260828,12,0.13,24716
