aoi_floor_mm_day,aoi_px,file,local_floor_mm_day,radius_px,ratio,span_days,usable,window_px,window_total_px
21.02330521430969,9264,GOFF_20251128_20251210_PR_HH-layer2.tif,31.170372820758818,12,1.4826580550969901,12.0,True,414,625
103.49945668094158,7168,GOFF_20251207_20251219_PR_HH-layer2.tif,270.59369534454345,12,2.6144455635038195,12.0,True,147,625
21.357865322542192,9078,GOFF_20251210_20251222_PR_HH-layer2.tif,31.218882210731504,12,1.4617042358527041,12.0,True,418,625
117.89785708694457,7134,GOFF_20251219_20251231_PR_HH-layer2.tif,294.80914846343995,12,2.500547132472738,12.0,True,156,625
24.497337375640868,9538,GOFF_20251222_20260103_PR_HH-layer2.tif,32.380189244270326,12,1.3217840268823597,12.0,True,435,625
113.97561589279174,8040,GOFF_20251231_20260112_PR_HH-layer2.tif,361.2798100936889,12,3.1697991475081615,12.0,True,249,625
23.829233368223907,9251,GOFF_20260103_20260115_PR_HH-layer2.tif,29.224251767921444,12,1.226403355757628,12.0,True,436,625
114.30603993873596,6756,GOFF_20260629_20260711_PR_HH-layer2.tif,405.30043604736323,12,3.545748205996727,12.0,True,257,625
18.60355077037811,8232,GOFF_20260702_20260714_PR_HH-layer2.tif,24.75243920631409,12,1.330522302534131,12.0,True,252,625
86.2400623512268,6996,GOFF_20260711_20260723_PR_HH-layer2.tif,381.690396969223,12,4.4259058558506865,12.0,True,248,625
13.351919206666944,8567,GOFF_20260714_20260726_PR_HH-layer2.tif,15.024866795253752,12,1.1252964133988665,12.0,True,275,625
9.366030867862701,8804,GOFF_20260723_20260816_PR_HH-layer2.tif,11.018414439725875,12,1.176423032891439,24.0,True,432,625
8.8718083630085,8612,GOFF_20260726_20260819_PR_HH-layer2.tif,7.147927090269326,12,0.8056899786150711,24.0,True,221,625
15.591060177326204,7774,GOFF_20260819_20260831_PR_HH-layer2.tif,22.979489825248717,12,1.473888854503132,12.0,True,153,625
